TI,DO,pub_id
Determinants of periodontal health in pregnant women and association with infants' anthropometric status: a prospective cohort study from Eastern Uganda,10.1186/1471-2393-12-90,22950749
"Maxillofacial soft tissue injuries in Nairobi, Kenya",,Unknown
"The role of dental practitioners in Provider Initiated HIV Counseling and Testing (PITC) for patients attending dental practices in Harare, Zimbabwe",,26255328
Acephalometric investigation of horizontal lip position in adult nigerians,10.1179/1465312512Z.00000000026,22984100
Oral lesions associated with HIV/AIDS in HIV-seropositive patients attending a counselling and treatment centre in Dar es Salaam,10.1111/j.1875-595X.2011.00108.x,23017001
Is healing outcome of 2 weeks intermaxillary fixation different from that of 4 to 6 weeks intermaxillary fixation in the treatment of mandibular fractures?,10.1016/j.joms.2012.04.006,22793957
"Prevalence and socio-behavioral influence of early childhood caries, ECC, and feeding habits among 6 - 36 months old children in Uganda and Tanzania",10.1186/1472-6831-12-24,22834770
"Prediction of width of un-erupted incisors, canines and premolars in a Ugandan population: A cross sectional study",10.1186/1472-6831-12-23,22824246
Oral antimicrobial rinse to reduce mycobacterial culture contamination among tuberculosis suspects in uganda: A prospective study,10.1371/journal.pone.0038888,22808020
Evidence to support a food-based dietary guideline on sugar consumption in South Africa,10.1186/1471-2458-12-502,22762394
The impact of dental auxiliaries in oral health delivery in Cameroon,,Unknown
"Correlation of oral health home-care practices, snacking habits and dental caries experience among HIV-positive children in Nairobi, Kenya",,26845800
A retrospective study of traumatic injuries to teeth at a Nigerian tertiary hospital,10.4103/1119-3077.100631,22960969
Prevalence of tobacco use among dental patients and their knowledge of its health effects,10.4103/1119-3077.100619,22960959
"Retrospective evaluation of necrotizing fasciitis in University College Hospital, Ibadan",10.4103/1119-3077.100644,22960973
Oral health practices among pregnant women in North Eastern Nigeria,10.4103/1119-3077.100625,22960965
Oral health of patients with severe rheumatic heart disease,10.5830/CVJA-2012-009,22836156
Cleft lip and palate in Madagascar 1998-2007,10.1016/j.bjoms.2011.06.004,21764188
Oral health status of patients with mental disorders in Southwest Ethiopia,10.1371/journal.pone.0039142,22723950
Prevalence of necrotizing ulcerative gingivitis and associated factors in Koranic boarding schools in Senegal,10.1922/CDH_2801Diouf04,22779382
"A preliminary assessment of the periodontal status of elderly pensioners in Benin City, Nigeria",10.1111/j.1741-2358.2011.00466.x,22050214
Self-perception of malocclusion among Nigerian adolescents using the aesthetic component of the IOTN,10.2174/1874210601206010061,22529881
Lifestyles and oral health in Fulani populations of Ferlo in Senegal,10.1684/mst.2012.0053,23001111
Tooth loss: Are the patients prepared?,10.4103/1119-3077.97305,22718167
Pregnant women living in areas of endemic fluorosis in Senegal and low birthweight newborns: Case-control study,10.1016/j.respe.2011.09.009,22424749
The validity of ultrasonography in the diagnosis of zygomaticomaxillary complex fractures,10.1016/j.ijom.2012.01.002,22306128
"Quality and contents of referral letters from peripheral health centers to the dental centre of a teaching hospital, southwestern Nigeria",10.3109/00016357.2011.600712,21936719
"'Many voices, one song': A model for an oral health programme as a first step in establishing a health promoting school",10.1093/heapro/dar039,22241851
Malocclusion and orthodontic treatment need among 12-15-year-old children in nairobi,,26845810
Psychosocial effects of cleft lip and palate on Nigerians: The Ikeja-Lagos experience,10.3109/2000656X.2011.643027,22455571
"The pattern and occurrence of ameloblastoma in adolescents treated at a university teaching hospital, in Kenya: A 13-year study",10.1016/j.jcms.2011.03.011,21458287
"HIV shedding in the oral cavity: An assessment of HIV type, immunovirologic,demographic and oral factors",10.1136/sextrans-2011-050231,22250179
Oral health status of children seen at a paediatric neurology clinic in a tertiary hospital in Nigeria,10.11411/pdj.22.16,9717887
Correlation between anxiety and the dental pain in children: Investigations at the Center for consultation and stomatology treatment of Abidjan (Ivory Cost),10.1051/mbcb/2012040,Unknown
"Oral health experience during pregnancy and dental service utilization in Bariadi District, Tanzania",10.4314/thrb.v14i2.8,26591736
Causes and pattern of tooth loss in children and adolescents in a Nigerian tertiary hospital.,,Unknown
Reasons and pattern of tooth extraction among patients presenting at a Nigerian semi-rural specialist hospital.,,Unknown
"Caries status among children in the West Rand District of Gauteng Province, South Africa.",,23951784
Epidemiology of oral squamous cell carcinoma.,,Unknown
"Dental caries prevalence in children attending special needs schools in Johannesburg, Gauteng Province, South Africa.",,23951782
Prevalence and pattern of dental caries among a sample of nigerian public primary school children,10.3290/j.ohpd.a28523,Unknown
Oro-facial squamous cell carcinoma--a twenty-year retrospective clinicopathological study.,,23457873
The clinical presentation and management of zygomatic complex fractures in a Nigeria Teaching Hospital.,,Unknown
"Caries incidence in a cohort of primary school students in Lagos state, Nigeria followed up over a 3 years period",10.1007/BF03320833,23235132
"Attendance pattern amongst patients at the Dental Clinic of the University of Nigeria Teaching Hospital, Enugu, Nigeria.",,23301453
The burden of early childhood caries in the Western Cape Public Service in relation to dental general anaesthesia: implications for prevention.,,23189901
"Perceptions regarding the shortened dental arch among dental practitioners in the Western Cape Province, South Africa.",,23189894
Child- and family impacts of infants' oral conditions in Tanzania and Uganda- a cross sectional study,10.1186/1756-0500-5-538,23016603
Prenatal exposure to dental amalgam in the Seychelles Child Development Nutrition Study: Associations with neurodevelopmental outcomes at 9 and 30 months,10.1016/j.neuro.2012.10.001,23064204
"Current pattern of cleft lip and palate deformities in Lagos, Nigeria",10.1597/10-236,21955308
Orofacial clefts at Bugando Medical Centre: Associated factors and postsurgical complications,10.1597/10-202,21806338
Two years survival rate of occlusal ART restorations placed without tooth surface conditioning in a primary oral health care centre,,Unknown
Socio-environmental factors associated with self-rated oral health in South Africa: A multilevel effects model,10.3390/ijerph9103465,23202757
"Palatal rugae patterns of urhobos in Abraka, South-Southern Nigeria",10.4067/S0717-95022012000200059,27315006
Perception of patients with amalgam fillings about toxicity of mercury in dental amalgam,10.5005/jp-journals-10024-1139,Unknown
"Changes in oral health related knowledge, attitudes and behaviours following school based oral health education and atraumatic restorative treatment in rural Tanzania",10.5324/nje.v22i1.1516,Unknown
Awareness of pregnancy-related oral diseases in women attending antenatal clinics in a university teaching hospital in Nigeria,10.3923/ijtmed.2012.61.63,Unknown
Groundwater quality and its health impact: An assessment of dental fluorosis in rural inhabitants of the Main Ethiopian Rift,10.1016/j.envint.2012.03.002,22484218
Oral manifestations in HIV+ children in Mozambique,10.1590/S1413-81232012000100008,22218539
Orofacial injuries associated with eclampsia in patients presenting at a Nigerian Tertiary Hospital,10.3109/01443615.2011.613495,22185538
"Clinical features and types of paediatric orofacial malignant neoplasms at two hospitals in Nairobi, Kenya",10.1016/j.jcms.2011.01.020,21376609
"Hypertension, periodontal disease, and potassium intake in nonsmoking, nondrinker African women on no medication",10.4061/2011/695719,21826260
Necrotizing periodontal diseases in a semirural district of south Africa,10.1155/2011/638584,21755050
"Effect of health education on oral hygiene and gingival status of persons living with HIV attending comprehensive care centres in Nairobi, Kenya",10.2989/16085906.2011.646672,25865381
Clinicopathological characteristics of odontogenic myxoma in Nigerians,,22669829
Oro-dental and maxillofacial trauma in epilepsy at a tertiary hospital in Lagos,,Unknown
"Oral health knowledge and practices of secondary school students, Tanga, Tanzania",10.1155/2011/806258,22145003
"Orthodontic treatment need and complexity among nigerian adolescents in rivers state, Nigeria",10.1155/2011/813525,22121361
Family environment and dental health disparities among urban children in Burkina Faso,10.1016/j.respe.2011.07.002,22000043
A survey of oral care practices in South African intensive care units,,Unknown
Non-doctor consultations and self-medication practices in patients seen at a tertiary dental center in Ibadan,10.4103/0970-9290.94671,22484873
Pattern of odontogenic and nonodontogenic cysts,10.1097/SCS.0b013e3182323fbe,22075813
The impact of service-learning on two groups of South African dental students,,22058398
"Oral health knowledge, hygiene practices and treatment seeking behaviour among 12 year-old children from Kitale municipality in Kenya",,Unknown
"Anesthetic challenges in oro-facial cleft repair in ile-ife, Nigeria",,22428486
"Tooth loss, chewing habits, and food choices among older Nigerians in Plateau State: A preliminary study",10.1111/j.1600-0528.2011.00612.x,21375560
Pattern of tooth extraction in children attending tertiary health care centers in nigeria: A prospective study,10.17796/jcpd.36.1.3616j76286616672,22900453
Oral maxillofacial tumors and tumor-like conditions: A Ugandan survey,10.1007/s00383-011-2922-4,21590479
Prevalence of self-reported hypersensitive teeth among a group of Nigerian undergraduate students.,,21980643
An audit of mandibular defect reconstruction methods in a Nigerian Tertiary Hospital.,,Unknown
"Factor structure of health and oral health-related behaviors among adolescents in Arusha, northern Tanzania",10.3109/00016357.2011.568960,21449689
Odontogenic tumours manifesting in the first two decades of life in a rural African population sample: A 26 year retrospective analysis,10.1259/dmfr/54585925,21831971
Self medication for oral health problems in Cameroon,10.1111/j.1875-595X.2011.00058.x,21851352
Self-reported poor oral hygiene among in-school adolescents in Zambia,10.1186/1756-0500-4-255,21781301
"Mothers' beliefs about infant teething in Enugu, South-east Nigeria: A cross sectional study",10.1186/1756-0500-4-228,21722357
Periapical granuloma associated with extracted teeth,10.4103/1119-3077.86770,22037071
Dental status of patients with mental disorders in a Nigerian teaching hospital: A preliminary survey,10.1111/j.1754-4505.2011.00193.x,21729122
"Dental health knowledge, attitude and practice on the occurrence of dental caries among adolescents in a local government area (LGA) of Oyo state, Nigeria",10.3923/aje.2008.64.71,Unknown
"Etiological spectrum, injury characteristics and treatment outcome of maxillofacial injuries in a Tanzanian teaching hospital",10.1186/1752-2897-5-7,21635724
Evaluation of dentoskeletal parameters in Senegalese subjects using orthodontic architectural analysis,10.1016/j.ortho.2011.03.013,21549655
"Anteroposterior, vertical and space malocclusions in adolescents with special needs in Lagos, Nigeria.",,22003805
"Knowledge and Attitude of PLWHA concerning oral lesions of HIV/AIDS among patients of PEPFAR clinic in Lagos University Teaching Hospital (LUTH) Lagos, Nigeria.",,21670779
An overview of cleft care in Nigeria.,,Unknown
Hygiene behaviour and associated factors among in-school adolescents in nine african countries,10.1007/s12529-010-9109-6,20593258
Nigerian dentists' knowledge of the current guidelines for preventing infective endocarditis,10.1922/CDH_2718Adeyemo04,21780360
Facial reconstruction in the developing world: A complicated matter,10.1016/j.bjoms.2009.08.044,20728253
A randomized comparison of the effect of partial and total wound closure techniques on postoperative morbidity after mandibular third molar surgery,10.1016/j.joms.2011.01.025,21497001
Dental Injuries in 12-year Old Nigerian students,10.1111/j.1600-9657.2011.00997.x,21496203
"The role of traditional healers in tooth extractions in Lekie Division, Cameroon",10.1186/1746-4269-7-15,21624132
Discriminative ability of the generic and condition-specific Child-Oral Impacts on Daily Performances (Child-OIDP) by the Limpopo-Arusha School Health (LASH) Project: A cross-sectional study,10.1186/1471-2431-11-45,21615892
"Clinico-pathological profile of head and neck malignancies at University College Hospital, Ibadan, Nigeria",10.1186/1746-160X-7-9,21569492
Oral hygiene measures and the periodontal status of school children,10.1111/j.1601-5037.2010.00466.x,21356014
Orofacial and dental injuries associated with seizures in paediatric patients in Lagos University Teaching Hospital,10.1016/j.ijporl.2011.02.006,21376402
"Effect of age, impaction types and operative time on inflammatory tissue reactions following lower third molar surgery",10.1186/1746-160X-7-8,21527036
"Maxillofacial injuries in Calabar south-south, Nigeria: a 5 year study of jawbone fractures.",,21970237
The delusion of halitosis: experience at an eastern Nigerian tertiary hospital.,,21970235
Variations of crown dimensions of permanent dentitions in a selected population of Nigerian children.,,Unknown
Class III Atraumatic Restorative Treatment (ART) in adults living in West Africa - Outcomes after 48 months,10.1111/j.1600-0528.2010.00574.x,21029144
Psychological distress and social support are determinants of changing oral health status among an immigrant population from Ethiopia,10.1111/j.1600-0528.2010.00581.x,21070316
The dilemma of selecting suitable proximal carious lesions in primary molars for restoration using ART technique,10.1922/CDH_2493Kemoli05,21485228
Survey of management of children with cleft lip and palate in teaching and specialist hospitals in Nigeria,10.1597/08-184,20163254
An assessment of orofacial clefts in Tanzania,10.1186/1472-6831-11-5,21288337
Clinico-histopathologic types of maxillofacial malignancies with emphasis on sarcomas: A 10-year review,,24968590
Pilot pathfinder survey of oral hygiene and periodontal conditions in the rural population of The Gambia (West Africa),10.1111/j.1601-5037.2009.00435.x,21226851
Assessment of Atraumatic Restorative Treatment (ART) on the permanent dentition in a primary care setting in Nigeria,10.1111/j.1875-595X.2011.00001.x,21382026
A survey of orofacial injuries among basketball players,10.1111/j.1875-595X.2011.00009.x,21382033
"Assessment of factors associated with dental caries in rural communities in Rakai District, Uganda",10.1007/s00784-009-0363-4,20054595
"Knowledge and practice of traditional healers in oral health in the Bui Division, Cameroon",10.1186/1746-4269-7-6,21235814
Cameroonian dentists' opinion on training and quality of dental services rendered by dental auxiliaries,10.4314/aas.v7i1.67028,Unknown
Surgical treatment for cellulitis of odontogenic origin in the Oral and Maxillofacial Surgery Service of the University Hospital of Antananarivo,10.1051/mbcb/2011117,Unknown
Study of dental abnormalities in cleft lip and palate: About 85 cases,10.1051/mbcb/2011002,Unknown
Oral lesions of HIV-infected children in West Africa in the era of antiretroviral treatments,,22750694
"Prevalence and socio-economic disparities in fissure sealant placement among adolescents in the Limpopo Province, South Africa.",,23477270
Impact of poor dental ergonomical practice.,,23198475
Principal motives for toothbrushing in a population of South African adolescents: implications for oral health promotion.,,Unknown
Profile of the dental therapy graduate at the University of KwaZulu-Natal.,,Unknown
"Clinical correlates of oral malodour in a population of patients attending a preventive clinic in Pretoria, South Africa.",,Unknown
Mandibular sites prone to fracture: analysis of 174 cases in a Nigerian tertiary hospital.,,Unknown
A survey of the oral health knowledge and practices of pregnant women in a Nigerian teaching hospital.,,Unknown
"Prevalence and awareness of oral manifestations among people living with HIV/AIDS attending counselling and treatment centres in Iringa Municipality, Tanzania",10.4314/thrb.v13i3.67430,Unknown
A retrospective histopathological review of oral squamous cell carcinoma in a Nigerian teaching hospital.,,Unknown
"Candidiasis in HIV and AIDS patients attending the Nylon Health District hospital in Douala, Cameroon",10.5455/pmb.20110826124940,Unknown
GambiaDentCare - Evaluation of a primary oral health-care programme in West Africa,10.1055/s-0030-1267944,21089011
Prosthetic rehabilitation: Needs in Senegalese dental offices,10.1007/s13149-011-0142-8,21451956
Prenatal exposure to dental amalgam: Evidence from the Seychelles Child Development Study main cohort,10.14219/jada.archive.2011.0114,22041415
"Oral squamous cell carcinoma, socioeconomic status and history of exposure to alcohol and tobacco",10.1016/S0027-9684(15)30364-3,21830633
Oral manifestations in HIV/AIDS-infected children,10.1055/s-0039-1698894,Unknown
"Pattern of presentation of oral health conditions among children at the university of port harcourt teaching hospital (UPTH), port harcourt, Nigeria",10.4034/PBOCI.2011.111.16,Unknown
"Prevalence and susceptibility pattern of bacterial isolates of dental caries in a secondary health care institution, Nigeria",,Unknown
Assessment of time taken to treat dental trauma in Nigerian children,10.1007/BF03262777,21299944
Assessment of oral health-related quality of life in Nigerian children using the Child Perceptions Questionnaire (CPQ 11-14),,Unknown
"The incidence of cleft lip and palate in Addis Ababa, Ethiopia",,Unknown
Evaluation of preventive care in the dentistry department clinics of the University Cheikh Anta Diop in Dakar,10.26719/2011.17.1.69,Unknown
Oral health status and behaviour of Mauritians visiting private dental clinics,10.1108/09654281111094964,Unknown
"Association between knowledge of caries preventive practices, preventive oral health habits of parents and children and caries experience in children resident in sub-urban Nigeria",10.1186/1472-6831-14-156,25516332
Pregnancy related changes in human salivary secretion and composition in a Nigerian population,,Unknown
Resident obstetricians' awareness of the oral health component in management of nausea and vomiting in pregnancy,10.1186/s12884-014-0388-9,25421787
An audit of school oral health education program in a developing country,10.4103/2231-0762.144600,25452928
"Knowledge, attitudes and practices of oral health care workers in Lesotho regarding the management of patients with oral manifestations of HIV/AIDS",,26506796
"Tobacco use, alcohol consumption and self-rated oral health among Nigerian prison officials",,25538831
Relationship between obesity and oral diseases,10.4103/1119-3077.144378,25385902
Fluoride exposure from groundwater as reflected by urinary fluoride and children's dental fluorosis in the Main Ethiopian Rift Valley,10.1016/j.scitotenv.2014.07.048,25084227
"Oral squamous cell carcinoma in a South African sample: Race/ethnicity, age, gender, and degree of histopathological differentiation",10.4103/0973-1482.138100,25579527
An evaluation of the sociodemographic determinants of dental anxiety in patients scheduled for intra-alveolar extraction,10.3402/ljm.v9.25433,25249306
"A review of 156 odontogenic tumours in Calabar, Nigeria",10.4314/gmj.v48i3.8,25709127
Oral health needs and barriers to accessing care among the elderly in Johannesburg,,Unknown
The prevalence and severity of dental caries in Chad: a pilot study,,25331241
The oral health status and the treatment needs in Chad: a pilot study,,25331242
Type II diabetes and oral health: Perceptions among adults with diabetes and oral/health care providers in Ghana,10.1922/CDH_3329Broder05,25300150
"Prevalence, pattern and perceptions of cleft lip and cleft palate among children born in two hospitals in Kisoro District, Uganda",10.1186/1472-6831-14-104,25135242
The effect of non-fluoride factors on risk of dental fluorosis: Evidence from rural populations of the Main Ethiopian Rift,10.1016/j.scitotenv.2013.12.087,24462132
Facial morphometrics of children with NON-syndromic orofacial clefts in Tanzania,10.1186/1472-6831-14-93,25070002
Preventive oral health practices of school pupils in Southern Nigeria,10.1186/1472-6831-14-83,25001584
"Study motives, career choices and interest in paediatric dentistry among final year dental students in Nigeria",10.1186/1472-6920-14-130,24989055
Normative and self-perceived orthodontic treatment need in Nigerian school children,10.3109/00016357.2014.967721,25314121
"How valid are the psychometric properties of the oral health impact profile-14 measure in adult dental patients in Ibadan, Nigeria?",10.4314/ejhs.v24i3.7,25183930
"Knowledge and screening practices for oral cancers amongst general dental practitioners in Lagos, Nigeria",,Unknown
"Periodontal conditions, low birth weight and preterm birth among postpartum mothers in two tertiary health facilities in Uganda",10.1186/1472-6831-14-42,24773772
Oral health training programs for community and professional health care workers in Nairobi East District increases identification of HIV-infected patients,10.1371/journal.pone.0090927,24633223
"Integration of oral health into primary health care system: Views of primary health care workers in Lagos State, Nigeria",10.4081/jphia.2014.328,28299117
Paediatric orofacial tumours: new oral health concern in paediatric patients,10.4314/gmj.v48i1.2,25320396
"Changes in the prevalence of dental caries in primary school children in Lagos State, Nigeria",10.4103/1119-3077.127419,24553018
Evidence-based tailoring of behavior-change campaigns: Increasing fluoride-free water consumption in rural ethiopia with persuasion,10.1111/aphw.12018,24218018
Brief communication: Emergence chronology of permanent teeth in Nigerian children,10.1002/ajpa.22447,24323544
Advantages of early management of facial clefts in Africa,10.1016/j.ijporl.2013.12.031,24480118
Oral lesions among HIV-infected children on antiretroviral treatment in West Africa,10.1111/tmi.12253,24386972
Child and maternal oral healthcare: An assessment of the knowledge of Nigerian and Ghanaian nurses,,26859018
"Complications of mandibular fracture: Study of the treatment methods in Calabar, Nigeria",10.7727/wimj.2013.150,25429480
Association between oral candidiasis and low CD4+ count among HIV positive patients in Hoima Regional Referral Hospital,10.1186/1472-6831-14-143,25432363
"Self-rated oral health status, oral health service utilization, and oral hygiene practices among adult Nigerians",10.1186/1472-6831-14-140,25427860
Knowledge of Nairobi East District Community Health Workers concerning HIV-related orofacial lesions and other common oral lesions,10.1186/1471-2458-14-1066,25306389
"Mutans streptococci colonization in early childhood caries in Ibadan, Nigeria",10.1016/j.pdj.2014.08.001,Unknown
"Sociobehavioural risk factors of dental caries among selected adolescents in Ibadan, Nigeria",10.1016/j.pdj.2014.01.001,Unknown
Sub-mandibular tumors: epidemiological and histological profiles,10.11604/pamj.2014.18.64.2102,25400831
"The prevalence, pattern and clinical presentation of developmental dental hard-tissue anomalies in children with primary and mix dentition from Ile-Ife, Nigeria",10.1186/1472-6831-14-125,25323952
The association of khat (catha edulis) chewing and orodental health: A systematic review and meta-analysis,10.7196/SAMJ.8070,29183436
"Cigarette smoking and awareness of oral health problems of tobacco use among students at the University of Port Harcourt, South-South Nigeria",10.5005/jp-journals-10015-1291,Unknown
Knowledge of and management attitude regarding dentin hypersensitivity among dentists from a West African country,10.5005/jp-journals-10024-1493,24939271
"Maxillofacial and concomitant injuries in multiple injured patients at Korle Bu Teaching Hospital, Ghana",,24872267
"Waste management from dental care in the health districts of Dakar, Senegal",10.1684/mst.2014.0402,25499629
The influence of the design of mandibular major connectors on gingival health.,,Unknown
Periodontal issues; tooth loss and oral hygiene measures among tobacco using drivers in Benin City,,Unknown
Gender distribution of Amalgam restoration and treatment pattern in regular attendees of a Teaching Hospital in Nigeria,10.5005/jp-journals-10015-1269,Unknown
[Prevalence of dental caries: national pilot study comparing the severity of decay (CAO) vs ICDAS index in Senegal].,,24979961
Partial edentulism and unmet prosthetic needs amongst young adult Nigeria.,,24979960
Maxillofacial tumors and tumor-like lesions in a nigerian teaching hospital: An eleven year retrospective analysis,10.4314/ahs.v14i1.9,26060458
"Prevalence of malocclusion and occlusal traits among adolescents and young adults in Rivers State, Nigeria.",,Unknown
Subgingival bacteria in Ghanaian adolescents with or without progression of attachment loss,10.3402/jom.v6.23977,24834145
Prevalence of dental anxiety and the psychometric properties of modified dental anxiety scale in Nigeria,10.5005/jp-journals-10015-1258,Unknown
"Stigma and disclosure as barriers to regular dental care for people living with HIV/AIDS in Kwazulu-Natal and Western Cape, South Africa",10.1108/EIHSC-05-2013-0006,Unknown
Prevalence of orofacial clefts in Nigeria,10.1597/12-135,23557093
Prevalence of oral and oropharyngeal human papillomavirus in a sample of South African men: A pilot study,10.7196/SAMJ.7542,25212204
Impact of low birthweight on early childhood caries in 6-36 months old infants in Uganda: A cross-sectional study,10.3109/00016357.2014.880189,24460034
Prevalence and Determinants of Chronic periodontitis in HIV positive patients in Nigeria,10.1016/S2222-1808(14)60578-8,Unknown
Nigerian dentists' knowledge of aggressive periodontitis,10.4103/0972-124X.128239,24744550
Dentofacial injuries in commercial motorcycle accidents in Cameroon: Pattern and cost implication of care,10.4314/ahs.v14i1.12,26060461
Non-third molar related pericoronitis in a sub-urban Nigeria population of children,10.4103/1119-3077.122826,24326801
"Pattern of presentation of oral health conditions by children at University of Nigeria Teaching Hospital, Enugu: A retrospective study",10.4103/1119-3077.122836,24326807
Determinants of preventive dental practice for children among final-year dental students in Nigeria,10.1111/ipd.12024,23414142
Is human immunodeficiency virus (HIV) stage an independent risk factor for altering the periodontal status of HIV-positive patients? A South African study,10.1186/1472-6831-13-69,24295071
Assessment of malocclusion severity levels and orthodontic treatment needs using the Dental Aesthetic Index (DAI): A retrospective study,,Unknown
"Study of palatal rugae pattern of rwandan patients attending the dental department at King Faisal hospital, kigali, Rwanda: A preliminary study",,Unknown
"Caries experience and related factors in 4-6 year-olds attending dental clinics in Kinshasa, DR of Congo",10.1922/CDH_3263Florent06,24575530
Effects of information dissemination using video of indigenous language on 11-12 years children's dental health,10.4314/ejhs.v23i3.2,24307819
Age-specific communication functioning of young children with cleft lip and palate in a South African database,10.1597/12-146,23566231
Maxillofacial injury: A retrospective analysis of time lapse between injury and treatment in a South African academic maxillofacial and oral surgery unit,10.7196/SAJS.1416,24209699
The usefulness of a yearly head and neck surgery trip to rural Kenya,10.1177/0194599813504901,24046273
"Evaluation of caregivers' knowledge, beliefs and practices regarding oral lesions in HIV-patients: A pilot study",10.4102/hsag.v18i1.704,Unknown
"Pattern, severity, and management of cranio-maxillofacial soft-tissue injuries in Port Harcourt, Nigeria",10.4103/0974-2700.120362,24339654
Perception of patients attending a tertiary hospital in Nigeria about good dental practice: A pilot study,10.4103/1119-3077.116893,23974743
Tobacco use and oral health of inmates in a nigerian prison,10.4103/1119-3077.116892,23974742
"Smokeless tobacco use, tooth loss and oral health issues among adults in Cameroon",10.4314/ahs.v13i3.38,24250322
"Feeding practice among 6-36 months old in Tanzania and Uganda: Reliability and relationship with early childhood caries, ECC",10.3109/00016357.2012.762991,23330987
Descriptors of permanent teeth with cariously exposed pulp in patients presenting at a Nigerian hospital,10.3109/00016357.2012.757643,23374086
Neurodevelopmental outcomes at 5 years in children exposed prenatally to maternal dental amalgam: The seychelles child development nutrition study,10.1016/j.ntt.2013.07.003,23856391
Oral leukoplakia in a South African sample: A clinicopathological study,10.1111/odi.12040,23210506
Location of community pharmacies and prevalence of oral conditions in the Western Cape Province,10.4102/hsag.v18i1.687,Unknown
Patient satisfaction with oral urgent treatment (OUT) in North West Tanzania,10.1038/sj.bdj.2013.736,23928608
"Pattern of occurrence and treatment of impacted teeth at the Muhimbili National Hospital, Dar es Salaam, Tanzania",10.1186/1472-6831-13-37,23914842
Prevalence and clinical consequences of untreated dental caries using PUFA index in suburban Nigerian school children,10.1007/s40368-013-0052-5,23780656
Impact of socio-cultural practice of infant/young child gum lancing during teething,10.17796/jcpd.37.4.l86784137776p346,24046981
Parental satisfaction in Ugandan children with cleft lip and palate following synchronous lip and palatal repair,10.1016/j.jcomdis.2013.03.001,23528930
Determinants of preventive oral health behaviour among senior dental students in Nigeria,10.1186/1472-6831-13-28,23777298
Stem cells in Dentistry: Knowledge and attitude of Nigerian Dentists,10.1186/1472-6831-13-27,23767980
Dental caries in children--an assessment of the knowledge of Nigerian paediatricians,,24377201
Dental caries and oral health practice among 12 year old school children from low socio-economic status background in Zimbabwe,10.11604/pamj.2013.14.164.2399,23819006
"Developmental defects of enamel in primary teeth and association with early life course events: A study of 6-36 month old children in Manyara, Tanzania",10.1186/1472-6831-13-21,23672512
Self-assessed dental health knowledge of Nigerian doctors,,Unknown
The role of human papillomavirus in head and neck cancer in Senegal,10.1186/1750-9378-8-14,23594504
Assessment of the impact of tongue size in patients with bimaxillary protrusion,10.1016/j.ortho.2013.02.012,23582625
Keratocystic odontogenic tumours of the jaws and associated pathologies: A 10-year clinicopathologic audit in a referral teaching hospital in Kenya,10.1016/j.jcms.2012.09.006,23063775
Pediatric maxillofacial injuries at a Nigerian teaching hospital: A three-year review,10.4103/1119-3077.110126,23563452
Reasons and pattern of tooth mortality in a Nigerian Urban teaching hospital,10.4103/1596-3519.112402,23713018
Evaluation of the histopathology of orofacial lesions in a North-East Nigerian tertiary centre,10.4103/1596-3519.112401,23713017
"Candida colonisation in asymptomatic HIV patients attending a tertiary hospital in Benin City, Nigeria",10.3402/ljm.v8i0.20322,23510937
"Weight, height and eruption times of permanent teeth of children aged 4-15 years in Kampala, Uganda",10.1186/1472-6831-13-15,23497340
Soluble fluoride levels in drinking water-a major risk factor of dental fluorosis among children in Bongo community of Ghana,,23661851
